particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
258,rod,14.65,4.46,3.283,0.952,36.94,402.9,452.6
259,rod,13.79,3.14,4.397,0.974,24.69,82.2,453.3
260,rod,13.81,3.58,3.861,0.966,29.23,285.1,453.4
261,rod,12.12,3.94,3.079,0.946,31.21,493.0,454.9
262,rod,11.1,3.31,3.351,0.954,24.1,40.9,456.2
263,rod,11.53,3.09,3.731,0.963,26.07,152.1,453.9
264,rod,10.16,3.37,3.017,0.943,22.32,62.4,456.8
265,rod,9.61,3.15,3.052,0.945,21.93,28.8,456.4
266,rod,8.26,3.43,2.409,0.91,20.15,92.3,458.9
267,rod,13.28,3.12,4.249,0.972,28.25,171.2,456.9
268,reject,7.27,4.1,1.772,0.826,20.94,221.2,459.2
269,rod,11.01,4.45,2.472,0.915,26.07,255.9,460.5
270,rod,9.91,2.94,3.374,0.955,20.74,119.0,461.2
271,rod,9.58,3.28,2.926,0.94,20.74,202.7,463.7
272,rod,8.04,3.39,2.374,0.907,18.77,365.2,25.3
273,rod,7.81,4.07,1.921,0.854,23.11,389.6,31.6
274,reject,7.92,5.24,1.511,0.75,28.44,403.8,40.1
275,reject,7.58,4.66,1.628,0.789,21.73,379.1,40.3
276,reject,6.93,4.13,1.679,0.803,20.15,392.7,44.3
277,rod,8.46,4.25,1.991,0.865,23.9,394.6,56.5
278,rod,11.74,3.92,2.996,0.943,31.41,383.2,72.2
279,reject,7.72,4.76,1.622,0.787,24.69,359.7,80.5
280,dot,5.65,4.36,1.298,0.637,16.2,360.6,94.9
281,reject,7.62,5.04,1.511,0.75,26.86,366.8,45.2
282,dot,5.83,4.63,1.258,0.607,19.36,355.4,51.1
283,reject,5.93,4.3,1.378,0.688,17.38,439.9,54.2
284,rod,9.64,4.71,2.045,0.872,26.47,426.7,63.0
285,reject,8.98,4.87,1.842,0.84,30.02,449.3,66.0
286,rod,10.07,4.18,2.412,0.91,29.23,434.7,73.9
287,rod,9.09,4.66,1.951,0.859,27.65,340.0,78.5
288,rod,11.62,4.52,2.571,0.921,33.78,326.0,88.4
289,rod,11.46,3.79,3.023,0.944,28.05,314.2,89.2
290,reject,7.43,4.28,1.735,0.817,19.56,388.1,103.9
291,rod,8.41,4.15,2.027,0.87,22.91,355.3,120.5
292,rod,11.3,4.84,2.336,0.904,35.16,372.9,122.9
293,reject,6.73,3.96,1.7,0.809,18.96,343.3,129.1
294,dot,5.81,4.69,1.239,0.59,20.15,352.7,136.5
295,rod,8.56,3.44,2.489,0.916,21.33,351.0,161.5
296,reject,6.06,4.08,1.484,0.739,18.37,366.2,159.7
297,reject,5.66,4.02,1.409,0.705,16.59,364.2,175.9
298,rod,8.1,3.95,2.051,0.873,21.14,290.1,112.2
299,rod,7.37,3.83,1.923,0.854,17.78,338.6,117.8
300,reject,6.78,4.94,1.372,0.685,23.9,302.4,121.0
301,reject,5.89,4.02,1.464,0.73,17.19,317.7,131.4
302,reject,7.8,4.12,1.892,0.849,23.51,311.7,139.1
303,reject,6.51,4.71,1.383,0.691,21.53,334.6,142.1
304,rod,6.63,3.47,1.913,0.852,16.59,407.4,128.1
305,rod,6.85,3.35,2.043,0.872,17.78,393.9,136.4
306,reject,6.64,3.95,1.682,0.804,19.75,414.5,139.9
307,reject,6.05,3.61,1.677,0.803,16.2,411.0,151.9
308,reject,7.52,4.3,1.75,0.821,19.36,420.8,155.6
309,rod,9.45,4.59,2.06,0.874,27.46,394.2,166.9
310,rod,11.66,4.22,2.761,0.932,34.37,226.3,164.7
311,rod,7.59,3.93,1.931,0.855,21.73,262.4,166.3
312,reject,6.88,4.31,1.597,0.78,19.95,245.1,172.3
313,rod,7.26,3.53,2.055,0.874,16.59,216.8,183.8
314,rod,9.49,3.71,2.555,0.92,25.88,202.5,186.2
315,dot,6.03,4.97,1.213,0.566,21.53,180.0,154.2
316,reject,6.62,3.81,1.735,0.817,18.96,168.2,166.5
317,rod,9.09,4.77,1.905,0.851,28.84,161.6,188.9
318,dot,5.52,5.4,1.022,0.208,19.95,288.5,158.3
319,rod,6.95,3.54,1.963,0.861,17.58,277.4,164.5
320,dot,6.09,4.62,1.318,0.651,18.96,289.4,169.0
321,rod,6.69,3.28,2.039,0.871,16.79,281.3,178.9
322,reject,11.32,6.04,1.874,0.846,39.51,243.2,190.8
323,reject,9.57,5.16,1.856,0.842,36.74,249.8,204.4
324,reject,8.84,5.62,1.575,0.772,30.62,272.5,224.2
325,reject,9.35,5.23,1.789,0.829,32.99,278.9,239.9
326,dot,5.82,4.36,1.334,0.662,16.4,398.3,192.1
327,rod,10.02,3.5,2.86,0.937,24.49,374.0,199.3
328,dot,6.11,4.75,1.287,0.63,18.57,400.8,204.6
329,dot,7.25,5.49,1.32,0.652,28.25,389.0,215.7
330,rod,9.75,3.76,2.596,0.923,26.07,388.2,242.3
331,rod,10.31,5.17,1.993,0.865,35.56,460.0,201.5
332,reject,5.73,3.9,1.469,0.733,16.59,444.7,207.8
333,reject,8.01,4.55,1.762,0.823,21.53,441.3,217.7
334,reject,5.56,4.11,1.351,0.673,16.2,469.1,212.7
335,dot,5.07,4.21,1.204,0.557,16.59,432.0,215.0
336,reject,6.26,4.4,1.421,0.71,20.94,429.3,226.0
337,rod,8.0,3.82,2.094,0.879,22.91,463.2,226.1
338,reject,7.81,4.96,1.573,0.772,24.89,460.2,242.2
339,rod,11.12,5.21,2.135,0.884,35.95,207.8,207.3
340,rod,8.09,4.05,1.999,0.866,24.1,189.1,227.9
341,reject,12.12,8.96,1.353,0.674,59.26,215.1,236.5
342,reject,5.85,3.8,1.539,0.76,16.0,186.9,242.1
343,rod,9.42,4.12,2.285,0.899,27.85,499.4,234.9
344,rod,7.99,4.04,1.978,0.863,24.1,486.0,240.2
345,dot,5.57,4.84,1.15,0.494,18.96,494.6,252.6
346,dot,6.04,4.51,1.34,0.666,19.36,481.2,256.2
347,dot,6.1,4.72,1.293,0.634,21.14,472.1,263.5
348,rod,6.78,3.44,1.971,0.862,17.19,463.0,270.6
349,reject,6.94,5.12,1.357,0.676,26.27,478.1,274.4
350,rod,10.65,3.9,2.729,0.93,30.02,324.0,238.2
351,reject,7.38,4.34,1.699,0.808,23.9,423.9,251.1
352,dot,5.8,5.23,1.11,0.434,20.15,428.2,275.7
353,dot,5.24,4.22,1.241,0.592,16.59,423.7,285.1
354,rod,9.6,5.03,1.907,0.851,28.44,284.8,277.5
355,rod,7.53,3.74,2.011,0.868,19.16,282.6,296.4
356,rod,9.24,3.65,2.532,0.919,21.14,288.4,305.4
357,rod,7.51,3.22,2.332,0.903,17.98,269.6,313.7
358,dot,5.47,4.94,1.107,0.429,18.96,297.9,317.2
359,reject,7.0,4.62,1.516,0.752,22.91,487.1,303.9
360,reject,5.86,4.33,1.353,0.674,17.78,498.4,309.6
361,reject,9.31,6.82,1.366,0.681,32.2,480.6,319.2
362,dot,5.6,4.58,1.224,0.577,18.17,413.5,314.4
363,reject,7.45,4.88,1.527,0.756,25.68,408.3,324.5
364,dot,5.79,4.66,1.243,0.594,19.95,417.5,344.9
365,reject,8.01,4.53,1.771,0.825,23.51,404.8,348.0
366,reject,6.34,4.04,1.57,0.771,16.79,413.0,358.4
367,reject,6.5,3.49,1.864,0.844,16.0,191.4,346.8
368,reject,9.24,5.96,1.55,0.764,34.17,175.7,348.0
369,rod,13.02,4.75,2.739,0.931,40.3,164.8,366.1
